,name,gender,count,eligible,vowels,rem_count
0,Aaban,M,114,,2,0
1,Aabha,F,35,,2,0
2,Aabid,M,16,,2,0
3,Aabidah,F,5,,1,0
4,Aabir,M,10,,2,0
5,Aabriella,F,38,,0,0
6,Aada,F,13,EHILNNRW,2,8
7,Aadam,M,273,,2,0
8,Aadan,M,130,EHILNRW,2,7
9,Aadarsh,M,209,,2,0
10,Aadaya,F,8,,0,0
11,Aaden,F,5,AHILNRW,2,7
12,Aaden,M,4828,AHILNRW,2,7
13,Aadesh,M,22,,2,0
14,Aadhav,M,217,,2,0
15,Aadhavan,M,44,,1,0
16,Aadhi,M,54,AELNNRW,2,7
17,Aadhira,F,107,ELNNW,1,5
18,Aadhiran,M,6,ELNW,1,4
19,Aadhvik,M,54,,2,0
20,Aadhvika,F,17,,1,0
21,Aadhya,F,1725,,1,0
22,Aadhyan,M,18,,1,0
23,Aadhyareddy,F,6,,-1,0
24,Aadhyasri,F,6,,0,0
25,Aadi,F,16,AEHLNNRW,2,8
26,Aadi,M,851,AEHLNNRW,2,8
27,Aadian,M,5,EHLNRW,1,6
28,Aadil,M,361,AEHNNRW,2,7
29,Aadilynn,F,5,,1,0
30,Aadin,M,124,AEHLNRW,2,7
31,Aadish,M,37,,2,0
32,Aadison,F,11,,1,0
33,Aadit,M,390,,2,0
34,Aadith,M,86,,2,0
35,Aadithya,M,11,,0,0
36,Aaditri,F,53,,1,0
37,Aaditya,M,571,,0,0
38,Aadiv,M,17,,2,0
39,Aadon,M,118,,2,0
40,Aadrian,M,12,EHLNW,1,5
41,Aadrika,F,27,,1,0
42,Aadrit,M,15,,2,0
43,Aadriti,F,15,,1,0
44,Aadvi,F,7,,2,0
45,Aadvik,M,264,,2,0
46,Aadvika,F,65,,1,0
47,Aadya,F,1130,,1,0
48,Aadyant,M,6,,1,0
49,Aadyn,F,16,,2,0
50,Aadyn,M,516,,2,0
51,Aafia,F,6,,1,0
52,Aafiya,F,21,,0,0
53,Aafiyah,F,16,,0,0
54,Aafreen,F,5,,1,0
55,Aagam,M,30,,2,0
56,Aage,M,7,,2,0
57,Aagna,F,7,,2,0
58,Aagot,F,5,,2,0
59,Aahaan,M,43,,1,0
60,Aahan,M,314,DEILNRW,2,7
61,Aahana,F,627,,1,0
62,Aaheli,F,10,ADNNRW,1,6
63,Aahil,M,619,ADENNRW,2,7
64,Aahir,M,6,ADELNNW,2,7
65,Aahliyah,F,24,,0,0
66,Aahna,F,89,DEILNRW,2,7
67,Aahron,M,5,,2,0
68,Aaidan,M,38,EHLNRW,1,6
69,Aaiden,M,832,AHLNRW,1,6
70,Aaidyn,M,65,,1,0
71,Aaila,F,52,DEHNNRW,1,7
72,Aailiyah,F,15,,-1,0
73,Aailyah,F,202,,0,0
74,Aaima,F,77,,1,0
75,Aaira,F,179,DEHLNNW,1,7
76,Aairah,F,129,DELNNW,1,6
77,Aaisha,F,198,,1,0
78,Aaishah,F,23,,1,0
79,Aaiyana,F,5,,-1,0
80,Aaiza,F,24,,1,0
81,Aaja,F,5,,2,0
82,Aajah,F,29,,2,0
83,Aajaylah,F,20,,0,0
84,Aajon,M,8,,2,0
85,Aakanksha,F,10,,1,0
86,Aakarsh,M,58,,2,0
87,Aakash,M,953,,2,0
88,Aakeem,M,16,,1,0
89,Aakif,M,5,,2,0
90,Aakil,M,14,,2,0
91,Aakilah,F,18,,1,0
92,Aakira,F,5,,1,0
93,Aakiyah,F,5,,0,0
94,Aakriti,F,55,,1,0
95,Aala,F,105,DEHINNRW,2,8
96,Aalaiya,F,7,,-1,0
97,Aalaiyah,F,67,,-1,0
