,pairs,counts,probs
0,AAA,1,1.2445736588474252e-06
1,AAB,23,2.862519415349078e-05
2,AAC,26,3.2358915130033056e-05
3,AAD,27,3.360348878888048e-05
4,AAE,4,4.978294635389701e-06
5,AAF,27,3.360348878888048e-05
6,AAG,26,3.2358915130033056e-05
7,AAH,8,9.956589270779402e-06
8,AAI,6,7.4674419530845516e-06
9,AAJ,0,0.0
10,AAK,46,5.725038830698156e-05
11,AAL,62,7.716356684854036e-05
12,AAM,17,2.1157752200406228e-05
13,AAN,47,5.849496196582899e-05
14,AAO,0,0.0
15,AAP,11,1.3690310247321678e-05
16,AAQ,0,0.0
17,AAR,150,0.00018668604882711377
18,AAS,85,0.00010578876100203115
19,AAT,44,5.476124098928671e-05
20,AAU,6,7.4674419530845516e-06
21,AAV,7,8.712015611931977e-06
22,AAW,1,1.2445736588474252e-06
23,AAX,0,0.0
24,AAY,8,9.956589270779402e-06
25,AAZ,0,0.0
26,ABA,549,0.0006832709387072364
27,ABB,173,0.00021531124298060456
28,ABC,3,3.7337209765422758e-06
29,ABD,115,0.0001431259707674539
30,ABE,486,0.0006048627981998486
31,ABF,2,2.4891473176948504e-06
32,ABG,1,1.2445736588474252e-06
33,ABH,23,2.862519415349078e-05
34,ABI,313,0.0003895515552192441
35,ABJ,2,2.4891473176948504e-06
36,ABK,9,1.1201162929626827e-05
37,ABL,131,0.0001630391493090127
38,ABM,2,2.4891473176948504e-06
39,ABN,17,2.1157752200406228e-05
40,ABO,233,0.0002899856625114501
41,ABP,1,1.2445736588474252e-06
42,ABQ,0,0.0
43,ABR,251,0.0003123879883707037
44,ABS,27,3.360348878888048e-05
45,ABT,10,1.2445736588474251e-05
46,ABU,123,0.0001530825600382333
47,ABV,0,0.0
48,ABW,1,1.2445736588474252e-06
49,ABX,0,0.0
50,ABY,47,5.849496196582899e-05
51,ABZ,1,1.2445736588474252e-06
52,ACA,264,0.00032856744593572025
53,ACB,5,6.222868294237126e-06
54,ACC,321,0.0003995081444900235
55,ACD,18,2.2402325859253653e-05
56,ACE,279,0.00034723605081843166
57,ACF,10,1.2445736588474251e-05
58,ACG,13,1.6179457565016528e-05
59,ACH,1346,0.0016751961448086344
60,ACI,252,0.00031363256202955115
61,ACJ,0,0.0
62,ACK,943,0.001173632960293122
63,ACL,46,5.725038830698156e-05
64,ACM,21,2.613604683579593e-05
65,ACN,18,2.2402325859253653e-05
66,ACO,293,0.0003646600820422956
67,ACP,9,1.1201162929626827e-05
68,ACQ,50,6.222868294237126e-05
69,ACR,69,8.587558246047234e-05
70,ACS,22,2.7380620494643356e-05
71,ACT,23,2.862519415349078e-05
72,ACU,65,8.089728782508264e-05
73,ACV,6,7.4674419530845516e-06
74,ACW,4,4.978294635389701e-06
75,ACX,0,0.0
76,ACY,28,3.4848062447727906e-05
77,ACZ,96,0.00011947907124935283
78,ADA,504,0.0006272651240591023
79,ADB,28,3.4848062447727906e-05
80,ADC,9,1.1201162929626827e-05
81,ADD,260,0.00032358915130033055
82,ADE,651,0.0008102174519096739
83,ADF,15,1.8668604882711378e-05
84,ADG,29,3.609263610657533e-05
85,ADH,56,6.969612489545581e-05
86,ADI,424,0.0005276992313513083
87,ADJ,14,1.7424031223863953e-05
88,ADK,32,3.9826357083117606e-05
89,ADL,131,0.0001630391493090127
90,ADM,36,4.4804651718507306e-05
91,ADN,34,4.2315504400812456e-05
92,ADO,438,0.0005451232625751722
93,ADP,2,2.4891473176948504e-06
94,ADQ,0,0.0
95,ADR,125,0.00015557170735592816
96,ADS,54,6.720697757776096e-05
97,ADT,68,8.463100880162491e-05
98,ADU,82,0.00010205504002548886
99,ADV,6,7.4674419530845516e-06
100,ADW,43,5.351666733043929e-05
101,ADX,0,0.0
102,ADY,105,0.00013068023417897964
103,ADZ,38,4.7293799036202156e-05
104,AEA,5,6.222868294237126e-06
105,AEB,25,3.111434147118563e-05
106,AEC,26,3.2358915130033056e-05
107,AED,35,4.356007805965988e-05
108,AEE,5,6.222868294237126e-06
109,AEF,32,3.9826357083117606e-05
110,AEG,42,5.227209367159186e-05
111,AEH,36,4.4804651718507306e-05
112,AEI,9,1.1201162929626827e-05
113,AEJ,0,0.0
114,AEK,12,1.4934883906169103e-05
115,AEL,83,0.0001032996136843363
116,AEM,22,2.7380620494643356e-05
117,AEN,53,6.596240391891354e-05
118,AEO,2,2.4891473176948504e-06
119,AEP,12,1.4934883906169103e-05
